Date,Title,Text,Link
4.22.2020,Missouri is suing China over coronavirus impacts saying the country did 'little to stop the spread of the disease,"(CNN) — Missouri is suing the Chinese government and other top institutions for the role they played in the coronavirus pandemic and the effects it has had on the state, accusing the country of covering up information, silencing whistleblowers and doing little to stop the spread of the disease, Missouri Attorney General Eric Schmitt announced Tuesday. At least 6,105 people have been confirmed to have the virus in Missouri and at least 229 have died, according to numbers from Johns Hopkins University.
Schmitt, in his official role as attorney general of Missouri, filed the civil lawsuit in federal court in the eastern district of Missouri.
The lawsuit, the first of its kind, claims ""Chinese authorities deceived the public, suppressed crucial information, arrested whistleblowers, denied human-to-human transmission in the face of mounting evidence, destroyed critical medical research, permitted millions of people to be exposed to the virus, and even hoarded personal protective equipment—thus causing a global pandemic that was unnecessary and preventable.""
Legal experts have said the lawsuit faces an uphill battle because China is protected by sovereign immunity. CNN is reaching out to the Chinese government for comment.
Missouri's lawsuit alleges that while the Chinese medical community had indications of human-to-human transmission of the virus, they did not inform the World Health Organization when they first reported the outbreak.
It also alleges Chinese leaders did little to curb spread of the virus, still allowing thousands of people to travel to and out of Wuhan.
In mid-January, on or around January 16, despite knowing the risks of doing so, Wuhan leaders hosted a potluck dinner for 40,000 residents, increasing the potential spread of the virus, it says. ""Defendants allowed these massive public gatherings and massive exodus from Wuhan despite knowing the risks of COVID-19, including the risk of human-to-human transmission.""
The filing also outlines how officials initially cracked down on medical professionals who posted information about the virus, including Dr. Li Wenliang, who was accused of rumor-mongering by the Wuhan police after sharing information about a new illness with his medical school alumni group. Wenliang later died of the virus.
The state also alleges China hoarded PPE while concealing the outbreak and that the small amounts they have released have been ""faulty.""
Those, among other actions taken by Chinese officials had a massive toll on human life and health and has led to ""enormous"" economic disruptions across the world, according to the lawsuit.
Before the pandemic, Missouri had one of its lowest unemployment rates of the past decade, but on information and belief, Missouri's unemployment rate is now the highest it has been since the Great Depression, the suit claims. ""Responding to the pandemic has required shutting down businesses, disrupting ordinary production and trade, and dislocating workers.""
CNN's Chris Boyette and Hira Humayun contributed to this report.",https://archive.vn/bHSS3#selection-1221.1-1309.64
,,,
4.22.2020,Missouri sues Chinese government over virus handling,"The US state of Missouri is suing the Chinese government over its handling of the coronavirus which it says has led to severe economic losses. In the lawsuit, Missouri Attorney General Eric Schmitt alleges China did little to stop the spread of the virus.
Mr Schmitt claims Missouri residents have suffered possibly tens of billions of dollars in economic damages.
But legal experts doubt how far the state will get with the legal action, and the motivation behind it.
In Missouri, the impact of the virus is very real - thousands have been infected and many have died, families have been separated from dying loved ones, small businesses are shuttering their doors, and those living paycheck to paycheck are struggling to put food on their table, Mr Schmitt said in a statement.
The Chinese government lied to the world about the danger and contagious nature of COVID-19, silenced whistleblowers, and did little to stop the spread of the disease, Mr Schmitt said. ""They must be held accountable for their actions.""
Follow our live updates from around the world
The civil lawsuit, filed on Tuesday, is against the Chinese government, Chinese Communist Party and other Chinese officials and institutions.
Legal experts have questioned the move and how far it will get. A legal doctrine called sovereign immunity offers foreign governments broad protection from being sued in US courts.
There is an exception for torts committed in the United States by officials acting in an official capacity; the paradigm would be something like a car accident in an embassy car, said Tom Ginsburg, a professor of international law at the University of Chicago.",https://archive.vn/N9Su5#selection-1521.0-1569.262
,,,
4.22.2020,Coronavirus: Crowds pack Massachusetts beach amid pandemic,"NEWBURY, Mass. — Amid the coronavirus pandemic, hundreds of people packed a Massachusetts beach Sunday.",https://archive.vn/ffjj1#selection-3651.0-4895.177
,,">> Coronavirus checklist: 100-plus disinfectants that may kill coronavirus on surfaces >> Coronavirus checklist: 100-plus disinfectants that may kill coronavirus on surfaces
Crowds pack Plum Island during coronavirus pandemic
Content Continues Below
According to Boston’s WFXT, Newbury police Chief Michael Reilley was disappointed by the crowds at Plum Island beach.
“It really wasn’t even that great of a beach day,” said Reilly. “But it was a beautiful sunny day, and it was pandemonium.”
>> Coronavirus symptoms: What you need to know
He said cars were parked all along Plum Island Turnpike, and many of them were from out of state. Police say too many people were not social distancing, while Massachusetts is in the middle of a surge in COVID-19 cases.
“My officers described it as busy as a Fourth of July weekend in 90-degree weather,” said Reilly. “It was extremely busy.”
Right now, police said only permit parking is permitted on Plum Island, but hundreds ignored that Sunday.
>> Coronavirus: Know the facts directly from the CDC
“They were like tailgate parties, and they would be carrying their beach furniture with them instead of taking a walk to use the beach like Gov. Baker suggested, in a transient fashion, taking a walk or jog or exercise. ...They were making a day of it,” said Reilly.
So now, Newbury town leaders are getting aggressive with their parking restrictions to prevent gatherings on the beach during this pandemic. They closed all parking lots to the public and will start ticketing and towing those who come to Plum Island while a stay-at-home advisory is in effect.
>> Coronavirus: Can the government make you stay home if you are sick?
“It’s a $50 parking ticket, and then your car won’t be there when you get off the beach because it will be towed,” said Reilly.
Reilly said that if people don’t obey these rules, officials will be forced to close down the beach completely, but he hopes if everyone continues to social distance, there’s still a chance people can enjoy the summer there.
“If we’re disciplined and aggressive now, hopefully that will pay dividends a month from now, and we’ll get back to a normal life,” said Reilly. “That’s what we’re hoping for.”",
,,,
4.22.2020,World experts speculate real coronavirus figures multiple times official numbers,"TOKYO -- As the number of novel coronavirus cases keeps rising in Japan and many parts of the world, experts from here and abroad are calling the officially announced number of infections into question, suspecting that there may be even more virus carriers in reality. 【Related】WHO warns rush to ease virus rules could cause resurgence
Related New wave of infections threatens to collapse Japan hospitals
Related Global coronavirus infections top 2 million, most in Europe, US
As of now, more than 10,000 coronavirus cases have been confirmed in Japan, while the figure stands over 2.5 million worldwide. However, some experts estimate that there were already tens of millions of cases across the globe. Behind the conjecture lies the fact that many of those who contract the novel virus strain show no symptoms and that there is a limit to the amount of testing that can be conducted on suspected cases.
In early April, a research team at the University of Gottingen in Germany released a staggering estimate that as of the end of March 2020 there should have been tens of millions of coronavirus infections around the world.
According to a tally by Johns Hopkins University in the United States, the number of coronavirus cases in the world initially was somewhere around 860,000. Yet when the institution calculated potential numbers of infected individuals by using the fatality rate of coronavirus cases based on a large-scale survey in China as well as the number of deaths in many countries, the estimated number of infections in Italy came to around 3.02 million -- about 28 times the officially confirmed cases of roughly 106,000 at the end of March.
The same study speculated that Spain actually had some 5.72 million coronavirus cases -- 60 times the publicly confirmed 96,000 cases -- and that the U.S. had approximately 11.85 million cases -- 63 times the ascertained 190,000 cases. The Baltimore-based university similarly presumed that Japan actually had some 7,800 cases, four times the 2,000 cases that had been confirmed by that time.
Experts in other countries are also voicing similar suspicions. According to an April 3 report by Reuters, Brendan Murphy, chief medical officer of Australia, stated that the global number of coronavirus cases had likely reached between 5 million and 10 million. Britain's Imperial College London released an estimate that by March 28, some 7 million to 43 million people had been infected with the novel coronavirus in 11 European countries.
Dr. Yasuharu Tokuda, head of the Muribushi Project for Okinawa Residency Programs based in Japan's southernmost prefecture of Okinawa and an expert in clinical epidemiology, commented, ""It is likely that the number of infected people is 12 times the officially announced figures (in Japan)."" He surmised the figure based on the possibility that some people do not test positive for the virus even though they are infected, as well as the ratio of people with no symptoms or only mild symptoms less than four days after becoming infected who haven't been tested.
Considering there are emerging countries where the testing systems aren't well organized, it is estimated that the global number of infections is at least 10 times the released figures, Tokuda said.
Because individuals with mild symptoms, who account for the majority of the cases, are not isolated, they end up spreading the virus. In order to prevent medical systems from falling apart, it is essential to test people at high risk of infection right away and contain virus transmissions by tracking down infection routes and isolating close contacts, he said.
(Japanese original by Yuki Ogawa, Lifestyle and Medical News Department)",https://archive.vn/t9ix5
,,,
4.22.2020,"Coronavirus deaths in the UK could be 41,000 - more than double official total","The coronavirus pandemic has caused as many as 41,000 deaths in the United Kingdom so far, according to an analysis of the current statistics by the Financial Times. The estimation is based on figures released by the Office for National Statistics (ONS) on Tuesday which said the UK death toll could be 41% higher than originally reported due to deaths outside hospitals. The estimation is based on figures released by the Office for National Statistics (ONS) on Tuesday which said the UK death toll could be 41% higher than originally reported due to deaths outside hospitals.
The official UK total is currently 17,337, according to the Department of Health which releases a daily update.  Yesterday the total went up by 873.
But those figures do not take into account deaths in care homes or in the community.
LOADING
How the different methods of measuring coronavirus deaths in Enlgand compare
RELATED ARTICLES

Coronavirus LIVE updates: UK death toll 'could be more than 40,000'

UK Coronavirus vaccine trial needs volunteers - and you could get paid £625
It is feared the Government is underestimating the real figure by failing to include deaths not in hospitals in their daily updates.
With the number of deaths still so high there is no sign of the UK-wide lockdown ending soon with it currently expected to continue until at least the beginning of May.
Get The Mirror delivered FREE to your door for six weeks
LOADING
Get your favourite newspaper straight through your letterbox with our incredible free delivery offer.
This special promotion means nobody has to miss out on their favourite daily read during the ongoing crisis.
Head to delivermynewspaper.co.uk then search your postcode and choose your local newsagent.
Payment for newspapers still required. New customers only. UK stores only and subject to delivery area availability. Daily Mirror and Sunday Mirror only. 18+ T&Cs apply, see delivermynewspaper.co.uk for full terms.
Later today, Sir Keir Starmer will grill Foreign Secretary Dominic Raab over the Government's handling of the coronavirus crisis during the first ever virtual Prime Minister's Questions.
Sir Keir is likely to spend his first PMQs as Labour leader questioning Boris Johnson's stand-in over testing, protective equipment for frontline workers and an exit strategy from the lockdown.
LOADING
Sir Keir Starmer will lead a virtual PMQs later today (Image: PA)
READ MORE
Coronavirus: NHS staff called back for re-testing after tests found to be flawed
An RAF plane landed at Brize Norton from Turkey in the early hours today, after being sent to collect a shipment of personal protective equipment (PPE) - including badly-needed surgical gowns.
The Government is likely to face further questions about its participation in an EU scheme to secure vital equipment after the Foreign Office's top civil servant, Sir Simon McDonald, made an extraordinary U-turn in withdrawing his own claim that the UK did not take part because of a ""political decision"".
Sir Simon wrote to the Commons Foreign Affairs Committee to say that his earlier evidence had been ""incorrect"" and reverted to the Government's defence that the scheme was not initially joined because of a ""communication problem"".
LOADING
Tony Blair has warned about a 'void' of decision making (Image: PA)
READ MORE
Elon Musk's Starlink satellites will be visible tonight alongside the Lyrid Meteor Shower
Meanwhile Tony Blair has said ""you can't have a void of decision making"" as Prime Minister Boris Johnson recovers from symptoms of the coronavirus.
The former prime minister said Mr Johnson, who was treated in intensive care and is thought not to be fully back to work, has ""got to get better"" and he would be consulted on major decisions regarding the government's response to the pandemic.
READ MORE
Coronavirus Outbreak

Live coronavirus updates


UK deaths could be as high as 41,000


Coronavirus deadlier in Europe than US


Italian hotel sues China over outbreak


Faces of NHS workers who have died


Have I had coronavirus?


Aldi foodbox wasn't what I expected'


100,000 break lockdown to attend funeral
Mr Blair also told Good Morning Britain: ""I think in a situation where every day matters and where every day decisions have to be taken, I think the person who is the acting prime minister along with what is essentially the war cabinet - the top four ministers that are meeting together - that person has got to be taking those decisions.
You can't have a void of decision making.",https://archive.vn/8GCbv#selection-2203.0-2773.43
,,,
4.22.2020,"Singapore confirms 1,016 more coronavirus cases","SINGAPORE (Reuters) - Singapore's health ministry said on Wednesday it had preliminarily confirmed another 1,016 cases of the novel coronavirus, taking total infections there to 10,141.
The health ministry said most of the cases were among migrant workers living in dormitories, a group that accounts for more than three quarters of the city-state's infections.
Singapore authorities on Tuesday extended a partial lockdown until June 1.
(Reporting by Aradhana Aravindan in Singapore; Editing by Andrew Heavens)",https://archive.vn/05f2i
,,,
4.22.2020,"Coronavirus live Nigeria updates: cases, deaths and latest news, today","Nigeria coronavirus update at 07:30 WAT on Wednesday 22 April (08:30 CEST)
According to the latest figures published by Johns Hopkins University, 2,565,059 cases have been detected worldwide, with 177,496 deaths and 686,608 people now recovered.
In Nigeria, there have been 782 cases, with 25 deaths and 197 people recovering from the virus.
New Coronavirus cases in Nigeria during the past 24 hours
 

WHO Nigeria
✔
@WHONigeria
As at 11:25 pm 21st April there are 117 new cases of #COVID19 have been reported;

59 in Lagos
29 in FCT
14 in Kano
6 in Borno
4 in Katsina
3 in Ogun
1 in Rivers
1 in Bauchi

Total confirmed cases: 782 
Discharged: 197
Deaths: 25
View image on Twitter
382
10:44 PM - Apr 21, 2020
Twitter Ads info and privacy
320 people are talking about this



Private clinic in Lagos temporarily closed
A major private hospital in Lagos confirmed that it will remain closedCovid-19 for the next two weeks after being disinfected following exposure to coronavirus. St. Nicholas Hospital released a statement earlier this week explaining that normal services will resume on Saturday 2nd. Lagos is served by over 20 hospitals and clinics but according to local media, six, including St. Nicholas, have been forced to close for decontamination during the coronavirus crisis.
 

St. Nicholas Hospital
@StNicholas_ng
View image on Twitter
170
6:16 PM - Apr 20, 2020 · Ikeja, Nigeria
Twitter Ads info and privacy
376 people are talking about this



Lagos women
Nigeria's coronavirus-free zones
Twelve Nigerian states have not registered a single case of coronavirus infection, according to reports by Punch. Of the country's 36 states, Adamawa, Bayelsa, Cross River, Ebonyi, Imo, Kebbi, Kogi, Nasarawa, Plateau, Taraba, Yobe and Zamfara States have yet to record any positive cases of the virus.
Bearing the brunt of the peidemic in Nigeria is Lagos, where 430 positive cases of Covid-19 infection have been recorded - including 59 new cases on Tuesday. After Lagos the Federal Capital Territory is the next worst-hit area with 118 confirmed cases. 
 
WHO says Trump has knowledge
Tedros Adhanom Ghebreyesus expressed his concern at the spread of Covid-19 in Africa and also addressed Donald Trump's claims of a lack of transparency.

CORONAVIRUS
Covid-19: ""The worst of the coronavirus is yet to come"" - WHO chief
Remote health control
The Lagos State Ministry of Health suggests that ‘EKO TELEMED’ marks a new beginning in the provision of medical consultation and services for the Lagos State Health Scheme.
“The project would increase access to care, reduce the challenge of going to hospitals during this period of restricted movements, except for emergencies.""

LSMOH
✔
@LSMOH
LAGOS LAUNCHES ‘EKO TELEMED’ FOR REMOTE NON-COVID-19 MEDICAL CONSULTATION@followlasg has launched ‘EKO TELEMED’ for residents, as part of concerted efforts aimed at protecting citizens and reducing their risk of contracting the #COVID19.@jidesanwoolu@NigeriaGov@DigiCommsNG
View image on Twitter
148
7:09 AM - Apr 22, 2020
Twitter Ads info and privacy
136 people are talking about this



The origin of diseases
The Nigerian environmental ministry is confident in their disease management approach.

Environment Ministry
✔
@FMEnvng
 · 4h
Replying to @FMEnvng
@sharon_ikeazor expressed optimism that there is however, a growing recognition that affordable, scalable solutions are available now to enable us all to advance to cleaner, more resilient societies and economies, turning the challenges of climate action into opportunities.

Environment Ministry
✔
@FMEnvng
Against the backdrop that COVID-19 has been reported to be a zoonotic disease that passed from animal to human, the Minister believes that Nigeria is on the right track in addressing coronavirus disease as well as other life threatening diseases such as Lassa Fever and the likes
4:32 AM - Apr 22, 2020
Twitter Ads info and privacy
See Environment Ministry's other Tweets



Power to the people
In an attempt to ensure that prolonged power outages are limited during the lockdown, the Nigerian Electricity Regulatory Commission (NERC) said it had set up a situation room to ensure that all cases are promptly resolved to relieve Nigerians of the discomfort occasioned by the restriction of movements.

Nigeria Newsdesk
✔
@NigeriaNewsdesk
Nigeria to halt extended power cuts during coronavirus lockdown https://www.today.ng/a/215042 

Nigeria to halt extended power cuts during coronavirus lockdown - TODAY
The federal government has made arrangements to ensure that prolonged power outages are reduced in the country throughout the period of the current lockdown as a result of the Covid-19 pandemic.
today.ng
4
3:48 AM - Apr 22, 2020
Twitter Ads info and privacy
See Nigeria Newsdesk's other Tweets



Nigeria coronavirus update at 07:30 WAT on Wednesday 22 April (08:30 CEST)
According to the latest figures published by Johns Hopkins University, 2,565,059 cases have been detected worldwide, with 177,496 deaths and 686,608 people now recovered.
In Nigeria, there have been 782 cases, with 25 deaths and 197 people recovering from the virus.",https://archive.vn/tQztJ#selection-1179.0-2757.42
,,,
4.22.2020,"After Coronavirus, Terrorism Won’t Be the Same","As big-government initiatives expand and leaders deflect blame, anti-establishment groups, angry Luddites, and China-haters could turn to violence.
BY RAFFAELLO PANTUCCI | APRIL 22, 2020, 3:33 AM
A picture taken during a guided tour organized by the Lebanese Shiite movement Hezbollah shows volunteers sorting food aid that will be distributed during the coronavirus pandemic in Beirut's southern suburbs on March 31. A poster on the wall shows the current leader of the movement, Hassan Nasrallah.
A picture taken during a guided tour organized by the Lebanese Shiite movement Hezbollah shows volunteers sorting food aid that will be distributed during the coronavirus pandemic in Beirut's southern suburbs on March 31. A poster on the wall shows the current leader of the movement, Hassan Nasrallah. AFP VIA GETTY IMAGES
As the coronavirus pandemic has spread, terrorist groups have reacted in different ways.
Traditional terrorist groups such as the Islamic State and al Qaeda and its many affiliates are for the most part confused in their response to COVID-19. Some see chaos that they can take advantage of (in places such as West Africa), others divine retribution on nonbelievers (as the Islamic State and the Turkistan Islamic Party, a Uighur group, have suggested), while others an opportunity to show their governance capabilities (such as the Taliban and Hezbollah). Governments have redeployed some counterterrorism capabilities to support the coronavirus response while contorting legal definitions of terrorism to prosecute people committing antisocial acts such as coughing on others.
Trending Articles

Congress Asks for New Social Distancing Rules on U.S.…
A top Democrat wants the CDC to draw up fresh rules to stop the spread of the coronavirus after an outbreak sidelined…
 
Video Player is loading.XThis is a modal window.The media could not be loaded, either because the server or network failed or because the format is not supported.
Powered By 
So far, the number of acts that could reasonably be called terrorism have been quite limited. It is for the most part generic anti-establishmentarianism fed by conspiracy theories. Fear of 5G technology being linked to the spread of the disease has led to the burnings of cell-phone towers across Europe.
In the United States, fear of big government has resulted in a bomb plan targeting a Kansas City, Kansas, hospital preparing for virus response and an attempt to derail a train in the Port of Los Angeles shipyard. Some more enterprising jihadis have sought to weaponize the coronavirus, while the extreme right wing has largely only talked about doing it.
These acts have a unifying theme. Like most terrorism, they are fundamentally acts of revolt against the established order. In the United States there is a rich tradition of anti-government activity, drawing on a broader narrative of libertarianism than runs through the American body politic.In the United States there is a rich tradition of anti-government activity, drawing on a broader narrative of libertarianism than runs through the American body politic.
Oklahoma City just marked the 25th anniversary of Timothy McVeigh’s attack on the Alfred P. Murrah building in 1995 that led to 168 deaths. McVeigh emerged from a broader U.S. movement called “Patriots” by federal investigators, who had long worried about these extreme libertarians’ potential for violence and their propensity for gathering lots of weapons. More recently, this movement has expressed itself through sovereign citizen groups, which reject federal regulations and target police.
For those whose mindset is shaped by this history of anti-government activity, the massive expansion of the state that follows a national crisis like a pandemic outbreak will be a concern. For such individuals, the fear is as much about expansion of the state as it is distrust in government’s activity in general. Some expressions of this anger are already visible in places such as Michigan, Kentucky, and North Carolina.
This sense of disenfranchisement is further exacerbated thanks to the growing distrust that is visible in government globally. Given the propensity of leaders to publicly utter untruths or half-truths, citizens’ collective faith in government is being eroded. Various criminal organizations have spotted this and sought to offer themselves as alternatives.
Terrorist groups such as Hezbollah, the Taliban, and Hayat Tahrir al-Sham that control pieces of territory have used the chaos to showcase their own public health capabilities, as thin as they are. Criminal groups in Brazil, El Salvador, and Mexico are seeking to display their power and resources. These moves are not particularly altruistic, however, with most groups undertaking them out of recognition of the battle for hearts and minds they could win through these acts.
Others on the fringes are taking this distrust to its violent extreme, and their number is likely to increase over time. The current COVID-19 response is going to expand the presence of the state, draw attention to inequalities that will be exacerbated in the post-coronavirus economy, and ultimately highlight the budget-tightening that is going to have to follow.The current COVID-19 response is going to expand the presence of the state, draw attention to inequalities that will be exacerbated in the post-coronavirus economy, and ultimately highlight the budget-tightening that is going to have to follow. Some may fear big government, but others will instead grow angry if it is not seen to be dealing with their problems and concerns. These fissures all open up narratives ripe for exploitation by anti-government factions, racist groups, political extremists of every type, and extremist Luddites or other fringe groups.
The growing army of the disenfranchised will create a community of those who are open to placing the blame on someone else. In the West there has been a growing push to blame China—something that is happening among senior officials (such as Deputy National Security Advisor Matthew Pottinger and Sen. Ted Cruz in the United States or the heads of the parliamentary defense and foreign select committees in the U.K.) and increasingly in the general population in countries where the tone of anti-Chinese sentiment is growing. This anger is also straining existing social tensions around migrants, something visible in the nasty racist tinge that colors a lot of COVID-19 discourse.
READ MORE
Hezbollah medical workers
Yesterday’s Terrorists Are Today’s Public Health Providers
Insurgents around the world are using the pandemic to win new converts and weaken their enemies.
ARGUMENT | COLIN P. CLARKE
Unfortunately, once anti-Chinese sentiment catches on among the general public, it tends to be less discerning—resulting in abuse and violence toward all those who appear to be of East Asian ethnicity. And while hate crimes do not always equate to terrorism, they are often a precursor to it. The intercommunal tensions hate crimes produce provide fodder to those who are prone to violence to act out on their nasty impulses, as well as providing a rich environment for groups seeking to advance divisive ideologies.
Once anti-Chinese sentiment catches on among the general public, it results in abuse and violence toward all those who appear to be of East Asian ethnicity.
This problem is not exclusive to the West. In Indonesia, researchers have warned of a growing tension toward Chinese nationals within the country. This draws on a rich seam of anger toward China more generally in the country—in part stemming from historical ethnic tensions, but more recently being exacerbated by Beijing’s treatment of its Muslim Uighur minority. There have even been warnings of this sentiment resulting in terrorism against Chinese residents of Indonesia, with a cell reported as having discussed targeting Chinese workers. This might lay the foundations for a more violent expression of anti-Chinese terrorism in Southeast Asia.
Chinese relations with Southeast Asia are often strained, and there are other expressions of anger against China more generally at the moment as well. Thailand became embroiled in an online spat with China when young Thais took umbrage at Chinese online warriors attacking prominent Thai actors for expressing views in solidarity with Taiwan and Hong Kong. The resulting “milk tea alliance”—so called because people in the countries are generally fans of sweet milk tea—has angered Beijing and dragged in the local embassy to express the usual Chinese anger at others recognizing the independence of places Beijing sees as part of China.
